labels,text
Yanlis_Bilgi_Duzeltme,Tüketici algısı her zaman gerçeği yansıtmaz.
Oneri_Alternatif,Karbon emisyonu düşük iplik çeşitleri neler?
Vedalasma,Sürdürülebilir bir gün dilerim!
Oneri_Alternatif,Kıyafet kiralama hizmetleri hakkında ne düşünüyorsun?
Malzeme_Turu,Naylon kumaş sentetik midir?
Cevre_Etkisi_Karsilastirma,Modal ile viskon üretimi çevre açısından nasıl farklılaşır?
Etiketleme_Sorusu,Etikette ulaşım bilgisi de olmalı mı?
Selamlama,Doğayı birlikte keşfetmeye hazır mısın?
Bilinclendirme,Sürdürülebilir yaşam biçimi hakkında bilgi verebilir misin?
Yonetmelik_Politika,Organik pamuk içeren ürünlerde hangi etiketler yer almalı?
Etiketleme_Sorusu,Ürünün etiketi geri dönüştürülmüş kağıttan yapılmışsa bu bir şey ifade eder mi?
Uretim_Sureci,Bazı kimyasallar üretim sürecinde neden vazgeçilmezdir?
Vedalasma,Yeni bilgilerle tekrar görüşelim.
Uretim_Sureci,Bir tişört üretmekle bir iş elbisesi üretmek arasında kaynak tüketimi açısından fark var mı?
Geri_Donusum,Moda markaları geri dönüşüm için nasıl bir sistem kurmalı?
Cevre_Etkisi_Karsilastirma,Pamuk üretimi mi yoksa bambu kumaş üretimi mi daha fazla su tüketir?
Geri_Donusum,Kumaş parçalarını el işi ya da tasarım için kullanmak sürdürülebilir sayılır mı?
Oneri_Alternatif,Sürdürülebilir tekstil için lif bazlı alternatifler önerir misin?
Yanlis_Bilgi_Duzeltme,"Yeşil tekstil uygulamaları sadece Avrupa’da varmış, bu doğru mu?"
Geri_Donusum,Geri dönüştürülmüş malzeme kullanan markalar çevreye ne kadar duyarlı?
Malzeme_Karbon_Ayak_Izi,Tekstil sektöründe düşük karbonlu üretim mümkün mü?
Vedalasma,"Bilgi paylaşımı güzeldir, tekrar görüşmek üzere."
Bilinclendirme,Sürdürülebilir üretim çevre dostu bir yaklaşımdır
Teknik_Tekstil,Geri dönüştürülmüş malzemeden teknik tekstil üretilir mi?
Uretim_Sureci,Üretim süreci boyunca doğaya zarar vermemek mümkün mü?
Etiketleme_Sorusu,Bu ürünün etiketinde hangi bilgiler olmalı?
Etiketleme_Sorusu,Etiket bilgileri standartlaştırılmalı mı?
Selamlama,Sürdürülebilir bir gün dilerim!
Malzeme_Karbon_Ayak_Izi,Malzeme kaynaklı ayak izi ile üretim süreci kaynaklı ayak izi nasıl ayrılır?
Uretim_Sureci,Hangi üretim süreci çevreye daha az zarar verir?
Malzeme_Turu,Doğal lifler de çevreyi kirletebilir mi?
Yanlis_Bilgi_Duzeltme,Bu bilgi sektörde tartışmalıdır.
Oneri_Alternatif,Çevre dostu bir boyama yöntemi önerir misin?
Selamlama,Sizlerle birlikte çevreye katkı sunmak isterim.
Geri_Donusum,Kıyafetleri parçalayarak geri dönüştüren bir sistem var mı?
Etiketleme_Sorusu,Tekstil ürünlerinde “eko etiket” ne anlama gelir?
Yonetmelik_Politika,Türkiye'de sürdürülebilir tekstil için zorunlu hale gelmiş bir etiketleme sistemi var mı?
Karbon_Ayak_İzi_Hesaplama,Kendi karbon ayak izimi nasıl hesaplayabilirim?
Teknik_Tekstil,Teknik tekstilde sürdürülebilirlik daha mı zor?
Malzeme_Karbon_Ayak_Izi,Giydiğim şeyin çevreye ne kadar zarar verdiğini nereden bileceğim?
Surdurulebilirlik_Tanimi,Tekstil sektöründe sürdürülebilirliği teşvik eden sertifikalar ve standartlar nelerdir
Karbon_Ayak_İzi_Hesaplama,Karbon salım değeri kıyafet etiketinde yer alıyor mu?
Yanlis_Bilgi_Duzeltme,Sürdürülebilirlik sadece büyük firmalar için mi geçerli?
Vedalasma,"Burada öğrendiklerimi kesinlikle kullanacağım, görüşmek üzere."
Karbon_Ayak_İzi_Hesaplama,Kumaşların çevresel etkisi karbon ayak izine göre nasıl ölçülür?
Karbon_Ayak_İzi_Hesaplama,Ulaşım ve giyimin karbon ayak izine etkisi aynı mı?
Teknik_Tekstil,Üretim sırasında çıkan atık sular kontrol altında mı?
Malzeme_Karbon_Ayak_Izi,Bir giysinin geri dönüştürülmesi karbon ayak izini nasıl etkiler?
Geri_Donusum,Evde kendi çantamı eski kıyafetlerden dikebilir miyim?
Yonetmelik_Politika,AB pazarı için ekolojik etiket taşıyan ürünler daha avantajlı mı sayılıyor?
Cevre_Etkisi_Karsilastirma,"Yerli üretim bir tişört mü, ithal edilen bir tişört mü daha çevrecidir?"
Etiketleme_Sorusu,"Etiket, karbon salınımını içeriyor mu?"
Surdurulebilirlik_Tanimi,Çevresel sürdürülebilirlik nasıl tanımlanır?
Cevre_Etkisi_Karsilastirma,Lifin menşei çevresel etki açısından ne kadar önemlidir?
Uretim_Sureci,Üretim boyunca çevre dostu teknolojilerden nasıl yararlanılır?
Cevre_Etkisi_Karsilastirma,Hayvansal kaynaklı ürünlerle bitkisel kaynaklı ürünler arasında karbon farkı var mı?
Uretim_Sureci,Giysi üretim sürecinde hangi aşamalar en çok enerji tüketir?
Karbon_Ayak_İzi_Hesaplama,Kumaşın türü karbon ayak izini nasıl etkiler?
Surdurulebilirlik_Tanimi,Tekstil sektöründe kaynakların verimli kullanımı nasıl sağlanabilir?
Vedalasma,Görüşmelerimiz burada sona eriyor.
Malzeme_Karbon_Ayak_Izi,"Suyun ısıtılması gereken üretim süreçleri, karbon açısından ne kadar sorunlu?"
Teknik_Tekstil,Yapılarda kullanılan tekstillerde sürdürülebilirlik mümkün mü?
Selamlama,"Merhaba, birlikte keşfedelim."
Selamlama,Yeşil düşüncelerle başlayalım.
Malzeme_Turu,Medikal tekstilde kullanılan lifler sürdürülebilir olabilir mi?
Uretim_Sureci,Akıllı tekstillerin nasıl üretildiğini ve bu sürecin geleneksel yöntemlerden farkını öğrenmek istiyorum.
Malzeme_Turu,Spor ayakkabılar sürdürülebilir olabilir mi?
Vedalasma,Bunları düşünmemiştim hiç... Bilgilendirdiğin için sağ ol.
Teknik_Tekstil,Isı yalıtımı sağlayan teknik kumaşlar nerelerde kullanılır?
Surdurulebilirlik_Tanimi,Geri dönüşüm dışında çevreye nasıl daha az zarar verebiliriz?
Malzeme_Karbon_Ayak_Izi,Doğal lifler sanıldığı kadar düşük karbon ayak izine sahip mi gerçekten?
Cevre_Etkisi_Karsilastirma,Organik pamuk ile geleneksel pamuk üretimi arasında çevresel farklar nelerdir?
Teknik_Tekstil,Tarımda kullanılan bezler bitkilere zarar verir mi?
Bilinclendirme,"Hızlı moda, düşük maliyetli üretimle çevresel tahribatı artırıyor."
Surdurulebilirlik_Tanimi,Çevre bilincini günlük hayatımıza nasıl katabiliriz
Vedalasma,Umarım çevreye dair farkındalığınız artmıştır.
Cevre_Etkisi_Karsilastirma,Tencel üretimi doğaya ne kadar az zarar verir?
Oneri_Alternatif,Doğa dostu kumaş seçerken dikkat etmem gereken en önemli kriter nedir?
Bilinclendirme,Karbon ayak izini azaltmak iklim değişikliğiyle mücadelede önemlidir
Malzeme_Turu,Recycled polyesterin ömrü kısa mı oluyor?
Etiketleme_Sorusu,Etiketleme sistemleri nasıl çalışıyor?
Uretim_Sureci,Bir giysinin iplikten kesime kadar olan süreci nasıldır?
Uretim_Sureci,Sürdürülebilir üretim uygulamaları sektörde nasıl yaygınlaşıyor?
Etiketleme_Sorusu,“Doğa dostu” yazması yasal bir garanti verir mi?
Malzeme_Turu,Sentetik kumaşlar neden tercih edilir?
Selamlama,Doğa dostu kumaşlar hakkında biraz bilgi verebilir misin?
Malzeme_Karbon_Ayak_Izi,Doğal liflerde tarım kaynaklı metan ve CO₂ emisyonu ne kadar belirleyici olur?
Malzeme_Karbon_Ayak_Izi,Yün üretiminin çevresel etkileri nelerdir?
Uretim_Sureci,Su tüketimi hangi üretim aşamalarında öne çıkar?
Teknik_Tekstil,Teknik tekstilde su kullanımı fazla mı?
Cevre_Etkisi_Karsilastirma,Tekstil üretiminin çevre etkileri bölgelere göre değişir mi?
Etiketleme_Sorusu,Etiketteki karbon ayak izi değeri hangi kurumlar tarafından doğrulanıyor?
Surdurulebilirlik_Tanimi,"Tekstil sektöründe çalışanların koşullarını iyileştirmek, sürdürülebilirliğe nasıl katkı sağlar?"
Uretim_Sureci,Spor kıyafetlerindeki o ter emen kumaşlar nasıl yapılıyor?
Uretim_Sureci,Bir giysideki dikişler üretim açısından ne ifade eder?
Surdurulebilirlik_Tanimi,Sürdürülebilirlik etik üretimle bağlantılı mıdır?
Bilinclendirme,Viskon kumaş çevre dostu mu? Tam olarak ne?
Uretim_Sureci,Üretim süreci boyunca ne kadar atık ortaya çıkar?
Malzeme_Turu,Aynı liften yapılan iki farklı kumaş nasıl bu kadar farklı hissediliyor?
Malzeme_Turu,Atık tekstillerden üretilen kumaşlar sağlık açısından güvenli midir?
Geri_Donusum,İkinci el alınan kıyafetlerin sonradan geri dönüştürülmesi mümkün mü?
Teknik_Tekstil,Medikal tekstilde antibakteriyel kumaşlar nasıl üretiliyor?
Cevre_Etkisi_Karsilastirma,Geri dönüştürülmüş pamuk ile yeni pamuk üretiminin farkı nedir?
Cevre_Etkisi_Karsilastirma,Farklı coğrafyalarda üretilen pamukların çevreye etkisi değişir mi?
Teknik_Tekstil,Spor ayakkabılarda kullanılan kumaşlar neden farklı?
Malzeme_Turu,Bambu kumaş ne tür bir tekstildir?
Oneri_Alternatif,Ekolojik baskı teknikleri hangileridir?
Malzeme_Turu,Teknolojik tekstil ürünlerinde kullanılan malzemeler geri dönüştürülebilir mi?
Etiketleme_Sorusu,Etiketteki bilgiler tüketiciye ne kadar şeffaflık sunmalı?
Malzeme_Turu,Yün hangi malzeme türüne girer?
Selamlama,Merhaba! Giydiğimiz kıyafetlerin çevreye etkileri nelerdir?
Uretim_Sureci,Farklı malzemeler üretim sırasında nasıl bir araya getirilir?
Uretim_Sureci,Kumaş boyama işlemleri çevreyi kirletiyor mu?
Geri_Donusum,Kullanılmış tekstil ürünlerini bağışlamak mı yoksa geri dönüştürmek mi daha doğru?
Uretim_Sureci,İplik üretimi nasıl gerçekleştirilir?
Geri_Donusum,Tekstil geri dönüşümünde en çok hangi malzeme kullanılıyor?
Uretim_Sureci,Konvansiyonel pamuk neden bu kadar çok su ister?
Surdurulebilirlik_Tanimi,Tekstil endüstrisinde biyolojik olarak parçalanabilen malzemeler nasıl kullanılır?
Malzeme_Karbon_Ayak_Izi,Kıyafet seçerken karbon ayak izine bakmak alışveriş kararlarını ne kadar etkiler?
Geri_Donusum,İş kıyafetleri gibi özel kumaşlı giysilerin geri dönüşüm süreci nasıl işler?
Oneri_Alternatif,Toksik olmayan tekstil alternatifleri nelerdir?
Geri_Donusum,Evde biriktirdiğim tekstil atıklarını kime teslim edebilirim?
Etiketleme_Sorusu,Etiketlerde çevreye zararsız boya kullanımı belirtilir mi?
Karbon_Ayak_İzi_Hesaplama,Tekstil ürünlerinin karbon ayak izi hesaplamasında hangi standartlar kullanılıyor?
Oneri_Alternatif,Yerli üretim olup sürdürülebilir anlayışla çalışan markaları nereden öğrenebilirim?
Malzeme_Turu,Pamuklu kumaşlar daha çabuk mu eskiyor?
Oneri_Alternatif,Sürdürülebilir moda için hangi kumaşlar tercih edilmeli?
Malzeme_Karbon_Ayak_Izi,Sertifikalı ürünlerin karbon ayak izi düşük müdür her zaman?
Uretim_Sureci,Mobilya kumaşlarının üretimi de doğaya zarar verir mi?
Yonetmelik_Politika,Geri dönüştürülebilir malzeme kullanımıyla ilgili resmi bir kota var mı?
Vedalasma,Görüşmek üzere
Yanlis_Bilgi_Duzeltme,Geri dönüşüm sadece plastikler için geçerli değil mi?
Yonetmelik_Politika,Türkiye'de sürdürülebilir tekstil ile ilgili bir politika var mı?
Vedalasma,Geleceğe birlikte yön verelim.
Malzeme_Karbon_Ayak_Izi,Karbon ayak izini azaltan tekstil markalarını nasıl bulabilirim?
Etiketleme_Sorusu,Etikette karbon ayak izi bilgisi varsa güvenilir midir?
Uretim_Sureci,Boyama işlemlerinde kimyasal kullanımı azaltılabilir mi?
Malzeme_Turu,Rejeneratif pamuk ile organik pamuk arasında fark var mı?
Karbon_Ayak_İzi_Hesaplama,Karbon ayak izi hesaplamalarında ürünün yaşam döngüsü ne kadar önemlidir?
Yonetmelik_Politika,Politikalar üretim aşamalarını nasıl şekillendiriyor?
Vedalasma,Sohbeti bitiriyoruz ama doğaya katkı devam ediyor.
Surdurulebilirlik_Tanimi,Geleceğimizi korumak için hangi önlemleri almalıyız
Etiketleme_Sorusu,Bu etiket sistemine kim karar veriyor?
Vedalasma,"Hoşça kal, çevreci kal."
Selamlama,Merhaba!
Bilinclendirme,Mikroplastik kirliliğini önlemek için sentetik kumaş kullanımını azaltmalıyız.
Malzeme_Karbon_Ayak_Izi,Tekstil liflerinin karbon ayak izleri karşılaştırıldığında en az hangisidir?
Oneri_Alternatif,Organik pamuk nereden bulabilirim?
Bilinclendirme,"Giysi seçimlerimle çevreye katkıda bulunmak istiyorum, nereden başlamalıyım?"
Karbon_Ayak_İzi_Hesaplama,Karbon ofsetleme hesaplamalara nasıl dahil edilir?
Malzeme_Karbon_Ayak_Izi,Aynı anda düşük karbon ayak izine ve yüksek dayanıklılığa sahip kumaş var mı?
Karbon_Ayak_İzi_Hesaplama,Giysilerimin üretim sürecinde ne kadar su ve enerji harcanmış olabilir?
Yonetmelik_Politika,Zorunlu sürdürülebilirlik raporlaması ne zaman yürürlüğe girecek?
Malzeme_Turu,Vegan kumaşlar gerçekten çevreye daha az zarar verir mi?
Teknik_Tekstil,Biyobazlı malzemeler teknik tekstilde kullanılıyor mu?
Etiketleme_Sorusu,“Yerel üretim” ibaresi çevresel açıdan neden önemli olabilir?
Oneri_Alternatif,Giysi tamiri yaparak kullanım ömrünü uzatmak mümkün mü?
Selamlama,Bilinçli alışveriş için birlikte öğrenelim.
Malzeme_Turu,Bu ürün hangi tekstil lifinden yapılmış?
Malzeme_Karbon_Ayak_Izi,CO2 salınımı açısından sürdürülebilir lifler hangileridir?
Teknik_Tekstil,Çevre dostu teknik tekstil var mı?
Teknik_Tekstil,İnşaat alanlarında kullanılan toz önleyici örtüler tekrar kullanılabilir mi?
Teknik_Tekstil,Tekstil kompozitleri nedir?
Karbon_Ayak_İzi_Hesaplama,Ürün bazlı karbon ayak izi hesaplama araçları var mı?
Bilinclendirme,Geri dönüştürülmüş polyesterin avantajları neler?
Malzeme_Karbon_Ayak_Izi,Organik pamuk üretimi çevreyi nasıl etkiler?
Teknik_Tekstil,Tarım örtüleri biyolojik çeşitliliğe zarar verir mi?
Etiketleme_Sorusu,Etikette geri dönüşüm sembolü var mı?
Geri_Donusum,Geri dönüşümlü ürünleri etiketinden nasıl ayırt edebilirim?
Malzeme_Turu,Malzeme karışımı hakkında bilgi verir misiniz?
Vedalasma,Kendinizi ve doğayı sevin.
Oneri_Alternatif,Tekstil atığını en aza indiren ürün türleri neler?
Yonetmelik_Politika,Kamu politikaları tekstil sektörünü nasıl yönlendiriyor?
Karbon_Ayak_İzi_Hesaplama,Online alışverişin karbon ayak izine etkisi nedir?
Yanlis_Bilgi_Duzeltme,Mantar derisi kullanmak tüm hayvansal derilerin yerine geçebiliyor mu?
Cevre_Etkisi_Karsilastirma,Organik pamuk mu kenevir mi daha sürdürülebilir?
Bilinclendirme,Atık tekstillerin geri dönüşümü doğaya katkı sağlar
Teknik_Tekstil,Araba koltuklarında kullanılan kumaşlar çevreye zararlı mı?
Yanlis_Bilgi_Duzeltme,Sürdürülebilir moda demek eski kıyafet giymek demek değil mi?
Malzeme_Karbon_Ayak_Izi,Pamuk üretiminin çevresel karbon maliyeti nedir?
Bilinclendirme,Tekstil üretiminin iklim krizine katkısı var mı?
Malzeme_Karbon_Ayak_Izi,Tekstil liflerinin karbon salımı neye göre değişir?
Karbon_Ayak_İzi_Hesaplama,Ürünlerin karbon ayak izi bilgisine nasıl ulaşabilirim?
Yonetmelik_Politika,Devlet destekli projelerde sürdürülebilir hammadde kullanımı şart mı?
Etiketleme_Sorusu,Karbon etiketlemesi zorunlu mu?
Surdurulebilirlik_Tanimi,Farklı sektörlerde çevre dostu uygulamalar nasıl yaygınlaştırılabilir?
Karbon_Ayak_İzi_Hesaplama,Günlük hayatımda ne kadar karbon ayak izi bırakıyorum acaba?
Bilinclendirme,Giysi üretiminde hangi adımlar çevreye en çok zarar veriyor?
Malzeme_Karbon_Ayak_Izi,Giysilerde karbon ayak izi azaltımı için tüketici olarak ben ne yapabilirim?
Etiketleme_Sorusu,Giysi etiketinde “%100 pamuk” yazması ne anlama geliyor?
Karbon_Ayak_İzi_Hesaplama,Pamuk üretimi su tüketimi açısından mı daha zararlı yoksa karbon açısından mı?
Malzeme_Turu,Hangi tür kumaşlar doğal kabul edilir?
Etiketleme_Sorusu,"Üzerinde sadece “eko ürün” yazıyor ama detaylı bilgi yok, yeterli mi sence?"
Malzeme_Turu,Geleneksel ipek üretimi ile barışçıl ipek (peace silk) arasında çevresel fark var mı?
Yonetmelik_Politika,Resmi kurumlar hangi sertifikaları tanıyor ve denetliyor?
Surdurulebilirlik_Tanimi,İzlenebilirlik sürdürülebilirliğin bir parçası mıdır?
Geri_Donusum,Her kumaş geri dönüştürülebilir mi?
Malzeme_Karbon_Ayak_Izi,Pamuklu bir ürün mü yoksa bambu mu daha düşük karbon ayak izine sahiptir?
Oneri_Alternatif,Tencel kumaş sürdürülebilir mi?
Yonetmelik_Politika,Etiketleme standartları Avrupa ile uyumlu hale getirildi mi?
Selamlama,Bilgiyle dolu bir sohbet için hazırım!
Malzeme_Turu,Pamuk doğal bir malzeme midir?
Surdurulebilirlik_Tanimi,Kullandığımız ürünlerin ömrünü uzatmak nasıl çevreyi korur?
Uretim_Sureci,Enerji tüketimi tekstil üretiminde nasıl bir rol oynar?
Bilinclendirme,İklim krizine karşı tekstil sektöründe karbon nötr üretim giderek önem kazanıyor.
Bilinclendirme,"Sürdürülebilir tekstil, döngüsel ekonomi ile atık üretimini azaltmayı hedefler."
Surdurulebilirlik_Tanimi,Gelecek nesiller için daha iyi bir dünya yaratmak için hangi önlemleri almalıyız?
Selamlama,Sıcak bir selamla başlayalım!
Selamlama,Birkaç konuda bilgi almak istiyorum.
Yonetmelik_Politika,Yasal olarak ürünlerin yaşam döngüsü değerlendiriliyor mu?
Bilinclendirme,Yeşil yıkama (greenwashing) nedir? Nasıl anlaşılır?
Oneri_Alternatif,Doğal boyalar hakkında bilgi verebilir misin?
Yanlis_Bilgi_Duzeltme,Sanılanın aksine bu bilgi hatalıdır.
Malzeme_Turu,"Bu tişört bambu yazıyor ama his olarak sentetik gibi, neden?"
Vedalasma,Bir sonraki görüşmemizde buluşmak üzere.
Malzeme_Turu,Aynı tişört hem pamuk hem polyester içeriyorsa bu ne anlama gelir?
Malzeme_Karbon_Ayak_Izi,Hangi tekstil malzemeleri daha az sera gazı üretir?
Malzeme_Karbon_Ayak_Izi,Kumaş seçiminde karbon etkisi dikkate alınmalı mı?
Uretim_Sureci,Ayakkabılarımın hangi malzemelerden ve nasıl yapıldığını bilmek istiyorum.
Yanlis_Bilgi_Duzeltme,Karmaşık süreçleri sadeleştirmek yanıltıcı olabilir.
Teknik_Tekstil,Üretimde alternatif enerji kaynakları kullanılıyor mu?
Uretim_Sureci,Üretim hatları farklı kumaşlar için nasıl değişiklik gösterir?
Geri_Donusum,Geri dönüşümlü kumaşlardan yapılmış okul formaları olur mu?
Selamlama,Bana biraz bilgi verir misin?
Cevre_Etkisi_Karsilastirma,Kıyafetlerin kullanım ömrü çevre etkisi açısından neden önemlidir?
Bilinclendirme,Kıyafetleri geri dönüştürmek çevre bilincine nasıl katkı sağlar?
Geri_Donusum,Kumaş atıklarını sanatsal projelerde kullanmak sürdürülebilirlik sayılır mı?
Cevre_Etkisi_Karsilastirma,Pamuk üretiminde kullanılan pestisitlerin çevreye etkisi nedir?
Karbon_Ayak_İzi_Hesaplama,Üretimde kullanılan kimyasalların karbon ayak iziyle ilişkisi nedir?
Teknik_Tekstil,Yüksek sıcaklığa dayanıklı teknik kumaşlar nelerdir?
Geri_Donusum,Hangi tekstil malzemeleri geri dönüştürülebilir?
Bilinclendirme,Sertifikalı ürünler gerçekten daha mı çevreci?
Vedalasma,Sağlıklı ve sürdürülebilir bir gün dilerim.
Surdurulebilirlik_Tanimi,Tüketiciler olarak sürdürülebilir tekstil ürünlerini nasıl daha fazla tercih edebiliriz?
Etiketleme_Sorusu,“Geri dönüştürülmüş polyester” yazan ürün gerçekten çevre dostu mu?
Surdurulebilirlik_Tanimi,Tekstil sektöründe sürdürülebilirlik kavramı nedir?
Malzeme_Karbon_Ayak_Izi,Lif kalınlığı ya da dokuma türü karbon salımını etkiler mi?
Uretim_Sureci,"""Temiz üretim"" denince ne anlamalıyım?"
Malzeme_Karbon_Ayak_Izi,Organik kumaşlar kullanmak karbon ayak izini ne kadar düşürür?
Etiketleme_Sorusu,Etikette karbon ayak izi belirtilmiş mi?
Geri_Donusum,Geri dönüşüm modası nedir?
Malzeme_Karbon_Ayak_Izi,Karbon emisyonu en yüksek tekstil malzemesi hangisidir?
Bilinclendirme,Bir tişörtün üretiminde ne kadar su harcanıyor?
Malzeme_Turu,Bu elbise hangi malzemeden üretilmiş?
Yanlis_Bilgi_Duzeltme,Bu bilgi eski ve artık geçerli değil.
Geri_Donusum,Geri dönüşüm sayesinde hangi doğal kaynaklar korunmuş olur?
Oneri_Alternatif,Geri dönüştürülmüş kumaşlardan yapılmış markalar var mı?
Cevre_Etkisi_Karsilastirma,Yün üretimi ile pamuk üretimi çevreye nasıl farklı etkiler yapar?
Bilinclendirme,Sentetik kumaşlar çevre için neden zararlı?
Vedalasma,Görüşmek dileğiyle.
Bilinclendirme,Hızlı moda çevre kirliliğini artırır
Bilinclendirme,"Bir ürün gerçekten sürdürülebilir mi, nasıl anlarım?"
Surdurulebilirlik_Tanimi,Üretim tesislerinde atık yönetimi nasıl yapılmalı
Bilinclendirme,Sürdürülebilir tekstil çevresel zararları azaltır
Karbon_Ayak_İzi_Hesaplama,Giydiğimiz şeylerin çevreye etkisi gerçekten bu kadar büyük mü?
Yanlis_Bilgi_Duzeltme,"Doğal boyalar kansere neden olurmuş, bu gerçek mi?"
Selamlama,Selam! Kıyafetlerin doğaya olan etkileri hakkında konuşalım mı?
Yonetmelik_Politika,Atık yönetimiyle ilgili tekstil işletmelerinin uyması gereken kurallar neler?
Malzeme_Karbon_Ayak_Izi,İkinci el kıyafet almak karbon ayak izini azaltır mı?
Selamlama,Yeni bilgilerle geldim!
Yanlis_Bilgi_Duzeltme,Doğal kumaşlar boyanmaz sanıyordum.
Yonetmelik_Politika,Sürdürülebilirlik kriterlerine uyan tekstil firmaları vergi indirimi alabiliyor mu?
Malzeme_Karbon_Ayak_Izi,Karbon ayak izini azaltan tekstil teknolojileri nelerdir?
Karbon_Ayak_İzi_Hesaplama,Kıyafet üretiminde fosil yakıt kullanımı bu değeri nasıl etkiliyor?
Cevre_Etkisi_Karsilastirma,Hangi tekstil ürünü daha uzun ömürlü ve böylece daha az atık üretir?
Teknik_Tekstil,Kumaş bakımı çevreye nasıl fayda sağlar?
Geri_Donusum,Geri dönüşüm için kıyafetleri yıkamak gerekir mi?
Malzeme_Turu,Tişörtlerde “nefes alabilir kumaş” ifadesi ne anlama geliyor?
Vedalasma,"Paylaştığın bilgiler için sağ ol, tekrar görüşmek üzere."
Bilinclendirme,"Bambu kumaşlar, sürdürülebilirlik açısından her zaman en iyi seçenek olmayabilir."
Yanlis_Bilgi_Duzeltme,Sadece organik ürün kullanmak yeterli midir?
Selamlama,"Merhaba, birlikte doğayı koruyalım!"
Malzeme_Karbon_Ayak_Izi,Karbon ayak izi deyince sadece üretim mi kastediliyor?
Yanlis_Bilgi_Duzeltme,Karbon nötr olmak her zaman sıfır emisyon demek değildir.
Malzeme_Karbon_Ayak_Izi,Geri dönüştürülen kumaşlar ile sıfırdan üretilen kumaşlar arasında çevresel etki farkı nedir?
Etiketleme_Sorusu,"“İzlenebilir üretim” ifadesi etikette varsa, bu gerçekten ne ifade ediyor?"
Surdurulebilirlik_Tanimi,Sürdürülebilirlik çevre dostu olmakla eşdeğer midir?
Etiketleme_Sorusu,Etiket bilgileri ne kadar detaylı olmalı?
Vedalasma,Sağlıklı kalın.
Oneri_Alternatif,Pamuk yerine hangi malzemeleri kullanabilirim?
Yanlis_Bilgi_Duzeltme,"Bu, sürdürülebilirlikle ilgili yanlış bir algıdır."
Yanlis_Bilgi_Duzeltme,"Polyester doğada 1 yıl içinde yok olurmuş, gerçek mi bu?"
Cevre_Etkisi_Karsilastirma,Pamuklu kumaş mı yoksa polyester kumaş mı çevreye daha çok zarar verir?
Surdurulebilirlik_Tanimi,Çevre dostu yaşam tarzı nasıl olur?
Uretim_Sureci,Bir giysinin üretiminde karbon salınımı hangi aşamada en fazla olur?
Yonetmelik_Politika,Geri dönüştürülmüş kumaş kullanımına dair bir zorunluluk var mı?
Selamlama,"Merhaba, sorularınızı bekliyorum!"
Geri_Donusum,Denim pantolonlar geri dönüşümde nasıl değerlendirilir?
Oneri_Alternatif,Kıyafetlerimi daha uzun ömürlü hale getirmek için ipuçların var mı?
Yanlis_Bilgi_Duzeltme,"Yalnızca büyük markalar sürdürülebilir olabilir, küçükler etkili olamaz sanıyordum."
Geri_Donusum,Evde kendi kıyafetlerimi nasıl değerlendirebilirim?
Surdurulebilirlik_Tanimi,Hem çevreye hem de topluma fayda sağlayan yaklaşımlar nelerdir
Yonetmelik_Politika,Sürdürülebilir üretim yapan firmalara vergi indirimi uygulanıyor mu?
Selamlama,Bugün ne öğrenmek istersin?
Malzeme_Turu,Geri dönüşümlü polyester çevre dostu mu?
Malzeme_Karbon_Ayak_Izi,Aynı karbon ayak izine sahip ürünlerden hangisi uzun ömürlü ise çevre açısından daha mı iyidir?
Cevre_Etkisi_Karsilastirma,Yün ve polyester kumaşları çevresel etki açısından kıyaslayabilir misin?
Vedalasma,Desteğiniz için teşekkürler.
Bilinclendirme,Doğal lifler her durumda çevre için daha mı iyi olur?
Uretim_Sureci,Bazı kumaşlar neden özel işlemler gerektirir?
Surdurulebilirlik_Tanimi,Karmaşık atıkları nasıl daha kolay yönetebiliriz?
Cevre_Etkisi_Karsilastirma,Kıyafetlerin üretiminde kullanılan su miktarı açısından hangi materyal daha tasarrufludur?
Surdurulebilirlik_Tanimi,"Eko-dostu tekstil ürünleri tercih etmek, çevreyi nasıl korur?"
Cevre_Etkisi_Karsilastirma,Plastik bazlı kumaşlar çevre için ne kadar tehlikelidir?
Oneri_Alternatif,İkinci elden alışveriş yaparken nelere dikkat etmeliyim?
Teknik_Tekstil,İnşaat alanlarındaki toz önleyici örtüler zararlı mı?
Karbon_Ayak_İzi_Hesaplama,Ayakkabı üretimi sırasında ne kadar karbon salınıyor?
Malzeme_Karbon_Ayak_Izi,Kıyafetin birden fazla mevsimde kullanılabilir olması çevre açısından avantaj sağlar mı?
Geri_Donusum,Tekstil geri dönüşümü ne kadar yaygın?
Surdurulebilirlik_Tanimi,İkinci el kıyafet kullanımı çevreye nasıl katkı sağlar
Cevre_Etkisi_Karsilastirma,Güneş enerjisiyle çalışan üretim tesisleri çevresel etkiyi nasıl azaltır?
Yonetmelik_Politika,Politikalar yeşil inovasyonu destekliyor mu?
Malzeme_Karbon_Ayak_Izi,Aynı ürünün farklı kumaş türleriyle üretilmiş halleri arasında büyük karbon farkı olur mu?
Karbon_Ayak_İzi_Hesaplama,Bir ürünün karbon ayak izi etikette yazar mı?
Yanlis_Bilgi_Duzeltme,"Sentetik elyaflar pamuktan daha çevreciymiş, bu iddia doğru mu?"
Teknik_Tekstil,Üretimde çıkan atıklar nasıl yönetiliyor?
